Title,Last Name,Firstname,Full Name,Function I,Function II,Function III
Prof. Dr.,Alibert,Yann,Yann Alibert,Co-Director Center for Space,and Habitability (CSH),
Prof. Dr.,Wampfler,Susanne,Susanne Wampfler,Co-Director Center for Space,and Habitability (CSH),
,Gargano,Michela,Michela Gargano,"Project Manager IMAP (NASA),",Engineer Comet Interceptor (ESA),
,Hängi,Raphaël,Raphaël Hängi,,,
,Roger,Thibaut,Thibaut Roger,"Communication and Outreach,",NCCR PlanetS,
,Schwarz,Guido,Guido Schwarz,"Communication and Outreach,",NCCR PlanetS,
Prof. Dr.,Mordasini,Christoph,Christoph Mordasini,Head of Division ,Space Research and Planetary Sciences (WP),
Prof. Dr.,Demory,Brice,Brice Demory,Professor & ERC Grantee,Center for Space and Habitability,
,Krummenacher,Sophie,Sophie Krummenacher,Communication and Outreach,Center for Space and Habitability,
,,, ,,,
